4/20/2018 9:53 AM
#3	Dark
Area (mm2) :	10.00

V (V)	J_source(mA/cm2)	I_PD (A)	Luminascence (cd/m2)	EQE (%)	PE (lm/W)	
3.150E+0	1.280E+0	2.560E-9	1.540E+2	3.392E+0	1.200E+1
3.200E+0	1.514E+0	3.360E-9	2.021E+2	3.763E+0	1.311E+1
3.250E+0	1.773E+0	4.360E-9	2.623E+2	4.169E+0	1.430E+1
3.300E+0	2.065E+0	5.590E-9	3.362E+2	4.589E+0	1.550E+1
3.350E+0	2.394E+0	7.090E-9	4.265E+2	5.022E+0	1.671E+1
3.400E+0	2.761E+0	8.900E-9	5.353E+2	5.466E+0	1.792E+1
3.450E+0	3.173E+0	1.108E-8	6.665E+2	5.921E+0	1.913E+1
3.500E+0	3.628E+0	1.363E-8	8.198E+2	6.370E+0	2.028E+1
3.550E+0	4.133E+0	1.661E-8	9.991E+2	6.814E+0	2.139E+1
3.600E+0	4.692E+0	2.080E-8	1.251E+3	7.517E+0	2.327E+1
3.650E+0	5.369E+0	2.470E-8	1.486E+3	7.800E+0	2.382E+1
3.700E+0	6.055E+0	2.930E-8	1.762E+3	8.204E+0	2.471E+1
3.750E+0	6.805E+0	3.420E-8	2.057E+3	8.521E+0	2.532E+1
3.800E+0	7.625E+0	3.980E-8	2.394E+3	8.850E+0	2.596E+1
3.850E+0	8.523E+0	4.600E-8	2.767E+3	9.152E+0	2.649E+1
3.900E+0	9.503E+0	5.270E-8	3.170E+3	9.403E+0	2.687E+1
3.950E+0	1.068E+1	6.070E-8	3.651E+3	9.639E+0	2.720E+1
4.000E+0	1.183E+1	6.870E-8	4.132E+3	9.844E+0	2.743E+1
4.050E+0	1.310E+1	7.720E-8	4.644E+3	9.993E+0	2.750E+1
4.100E+0	1.447E+1	8.630E-8	5.191E+3	1.011E+1	2.748E+1
4.150E+0	1.596E+1	9.600E-8	5.774E+3	1.020E+1	2.738E+1
4.200E+0	1.759E+1	1.064E-7	6.400E+3	1.026E+1	2.722E+1
4.250E+0	1.934E+1	1.172E-7	7.050E+3	1.028E+1	2.695E+1
4.300E+0	2.123E+1	1.285E-7	7.729E+3	1.026E+1	2.660E+1
4.350E+0	2.327E+1	1.403E-7	8.439E+3	1.022E+1	2.620E+1
4.400E+0	2.548E+1	1.526E-7	9.179E+3	1.016E+1	2.572E+1
4.450E+0	2.784E+1	1.652E-7	9.937E+3	1.006E+1	2.519E+1
4.500E+0	3.039E+1	1.781E-7	1.071E+4	9.936E+0	2.461E+1
4.550E+0	3.313E+1	1.914E-7	1.151E+4	9.796E+0	2.399E+1
4.600E+0	3.608E+1	2.050E-7	1.233E+4	9.635E+0	2.334E+1
4.650E+0	3.955E+1	2.190E-7	1.317E+4	9.390E+0	2.250E+1
4.700E+0	4.294E+1	2.330E-7	1.401E+4	9.200E+0	2.181E+1
4.750E+0	4.661E+1	2.470E-7	1.486E+4	8.986E+0	2.108E+1
4.800E+0	5.055E+1	2.620E-7	1.576E+4	8.789E+0	2.041E+1
4.850E+0	5.479E+1	2.770E-7	1.666E+4	8.572E+0	1.970E+1
4.900E+0	5.941E+1	2.920E-7	1.756E+4	8.334E+0	1.896E+1
4.950E+0	6.437E+1	3.080E-7	1.853E+4	8.114E+0	1.827E+1
5.000E+0	6.975E+1	3.240E-7	1.949E+4	7.876E+0	1.756E+1
5.050E+0	7.560E+1	3.410E-7	2.051E+4	7.648E+0	1.688E+1
5.100E+0	8.197E+1	3.590E-7	2.159E+4	7.426E+0	1.623E+1
5.150E+0	8.896E+1	3.780E-7	2.274E+4	7.205E+0	1.559E+1
5.200E+0	9.656E+1	3.990E-7	2.400E+4	7.006E+0	1.502E+1
5.250E+0	1.078E+2	4.220E-7	2.538E+4	6.639E+0	1.409E+1
5.300E+0	1.170E+2	4.480E-7	2.695E+4	6.495E+0	1.366E+1
5.350E+0	1.272E+2	4.750E-7	2.857E+4	6.330E+0	1.319E+1
5.400E+0	1.385E+2	5.050E-7	3.038E+4	6.181E+0	1.276E+1
5.450E+0	1.510E+2	5.350E-7	3.218E+4	6.009E+0	1.229E+1
5.500E+0	1.646E+2	5.690E-7	3.423E+4	5.860E+0	1.187E+1
5.550E+0	1.797E+2	6.050E-7	3.639E+4	5.707E+0	1.146E+1
5.600E+0	1.965E+2	6.440E-7	3.874E+4	5.558E+0	1.106E+1
5.650E+0	2.149E+2	6.840E-7	4.114E+4	5.398E+0	1.065E+1
5.700E+0	2.352E+2	7.270E-7	4.373E+4	5.241E+0	1.025E+1
5.750E+0	2.577E+2	7.720E-7	4.644E+4	5.080E+0	9.845E+0
5.800E+0	2.827E+2	8.190E-7	4.926E+4	4.912E+0	9.437E+0
5.850E+0	3.107E+2	8.670E-7	5.215E+4	4.732E+0	9.014E+0
5.900E+0	3.411E+2	9.160E-7	5.510E+4	4.553E+0	8.600E+0
5.950E+0	3.748E+2	9.630E-7	5.792E+4	4.356E+0	8.159E+0
6.000E+0	4.123E+2	1.008E-6	6.063E+4	4.145E+0	7.700E+0
6.050E+0	4.538E+2	1.050E-6	6.316E+4	3.923E+0	7.226E+0
6.100E+0	5.000E+2	1.084E-6	6.520E+4	3.676E+0	6.716E+0
6.150E+0	5.505E+2	1.108E-6	6.665E+4	3.412E+0	6.184E+0
6.200E+0	6.059E+2	1.121E-6	6.743E+4	3.137E+0	5.639E+0
6.250E+0	6.663E+2	1.120E-6	6.737E+4	2.850E+0	5.082E+0
6.300E+0	7.309E+2	1.106E-6	6.653E+4	2.566E+0	4.539E+0
6.350E+0	7.983E+2	1.081E-6	6.502E+4	2.296E+0	4.030E+0
6.400E+0	8.658E+2	1.051E-6	6.322E+4	2.058E+0	3.584E+0
